Time_s,full_timbre_Hz,nicki_timbre_Hz,ariana_timbre_Hz
94.34263,17.3979999999999,0.0,17.3979999999999
94.45859,-56.7639999999999,0.0,-56.7639999999999
94.90703,28.871,0.0,28.871
95.01565,69.93,0.0,69.93
95.38753,80.007,0.0,80.007
95.53361,67.5269999999999,0.0,67.5269999999999
95.6605,58.7819999999999,0.0,58.7819999999999
96.04812,88.865,0.0,88.865
96.6063,-107.687999999999,0.0,-107.687999999999
97.14612,-167.332,0.0,-167.332
97.22395,38.738,0.0,38.738
97.67946,-35.54,0.0,-35.54
97.78571,56.0089999999999,0.0,56.0089999999999
98.22082,-130.178,0.0,-130.178
98.30562,-32.705,0.0,-32.705
98.75324,-163.632999999999,0.0,-163.632999999999
98.85769,-30.7189999999999,0.0,-30.7189999999999
98.96263,-16.6549999999999,0.0,-16.6549999999999
99.19029,40.519,0.0,40.519
99.29855,96.394,0.0,96.394
99.51565,97.224,0.0,97.224
99.69528,102.439,0.0,102.439
99.81669,217.994,0.0,217.994
100.31624,-23.611,0.0,-23.611
100.44989,48.4339999999999,0.0,48.4339999999999
101.40689,-90.8349999999999,0.0,-90.8349999999999
101.6522,61.675,0.0,61.675
101.80227,68.306,0.0,68.306
101.9629,109.196999999999,0.0,109.196999999999
102.63687,25.4159999999999,0.0,25.4159999999999
103.0215,-80.522,0.0,-80.522
103.10395,138.569,0.0,138.569
103.23551,162.885,0.0,162.885
103.57868,170.062,0.0,170.062
104.03701,129.060999999999,0.0,129.060999999999
104.62925,17.6549999999999,0.0,17.6549999999999
104.72794,112.925999999999,0.0,112.925999999999
104.97088,10.7679999999999,0.0,10.7679999999999
105.18821,-89.9879999999999,0.0,-89.9879999999999
105.53392,-31.339,0.0,-31.339
105.65787,-19.4109999999999,0.0,-19.4109999999999
105.92336,-2.32599999999999,0.0,-2.32599999999999
106.20653,-12.7109999999999,0.0,-12.7109999999999
106.41138,-65.059,0.0,-65.059
106.60231,-5.83799999999999,0.0,-5.83799999999999
106.7893,-100.091999999999,0.0,-100.091999999999
106.96989,-83.0869999999999,0.0,-83.0869999999999
107.28549,-28.9769999999999,0.0,-28.9769999999999
107.39692,-17.9829999999999,0.0,-17.9829999999999
107.84009,43.6389999999999,0.0,43.6389999999999
107.92063,97.2989999999999,0.0,97.2989999999999
107.99016,56.4219999999999,0.0,56.4219999999999
108.39696,77.7969999999999,0.0,77.7969999999999
108.9366,75.6329999999999,0.0,75.6329999999999
109.081,33.5389999999999,0.0,33.5389999999999
109.43565,68.0399999999999,0.0,68.0399999999999
109.56912,101.274999999999,0.0,101.274999999999
109.88798,92.463,0.0,92.463
110.37025,60.6389999999999,0.0,60.6389999999999
110.51447,73.27,0.0,73.27
111.0844,-90.7679999999999,0.0,-90.7679999999999
111.25324,42.8199999999999,0.0,42.8199999999999
111.45161,27.3189999999999,0.0,27.3189999999999
111.5595,35.505,0.0,35.505
111.96653,211.799999999999,0.0,211.799999999999
112.64009,304.486,0.0,304.486
112.88381,272.236,0.0,272.236
113.16231,278.140999999999,0.0,278.140999999999
113.76068,283.537999999999,0.0,283.537999999999
114.30018,170.958999999999,0.0,170.958999999999
114.57868,-10.379,0.0,-10.379
114.78766,177.729,0.0,177.729
115.1249,152.499,0.0,152.499
115.35061,48.866,0.0,48.866
115.8976,-104.717,0.0,-104.717
115.96689,134.992,0.0,134.992
116.80245,112.862999999999,0.0,112.862999999999
116.96431,85.0549999999999,0.0,85.0549999999999
117.51633,-80.0669999999999,0.0,-80.0669999999999
117.85864,15.0169999999999,0.0,15.0169999999999
117.99211,-6.92599999999998,0.0,-6.92599999999998
118.16757,-86.368,0.0,-86.368
118.54916,48.11,0.0,48.11
118.94227,110.227,0.0,110.227
119.10744,10.4159999999999,0.0,10.4159999999999
119.65755,-24.0609999999999,0.0,-24.0609999999999
119.81497,-21.467,0.0,-21.467
120.16372,65.1869999999999,0.0,65.1869999999999
120.62195,117.760999999999,0.0,117.760999999999
120.70299,226.29,0.0,226.29
121.22585,362.614,0.0,362.614
121.44603,428.354999999999,0.0,428.354999999999
121.7766,274.475999999999,0.0,274.475999999999
122.32209,-63.007,0.0,-63.007
122.73442,227.620999999999,0.0,227.620999999999
122.94408,245.215,0.0,245.215
123.16317,76.002,0.0,76.002
123.39728,0.681000000000004,0.0,0.681000000000004
123.88884,-39.242,0.0,-39.242
124.16549,-45.276,0.0,-45.276
124.46971,-44.6679999999999,0.0,-44.6679999999999
124.69161,22.522,0.0,22.522
125.01102,2.689,0.0,2.689
125.38259,68.358,0.0,68.358
125.53383,-47.5049999999999,0.0,-47.5049999999999
126.0532,93.162,0.0,93.162
126.55977,66.393,0.0,66.393
126.81016,101.123,0.0,101.123
127.07619,76.452,0.0,76.452
127.25188,168.751,0.0,168.751
127.63438,67.2839999999999,0.0,67.2839999999999
128.10454,-83.9679999999999,-83.9679999999999,0.0
128.22635,-118.494,-118.494,0.0
128.32608,-65.212,-65.212,0.0
128.41747,-45.468,-45.468,0.0
128.74222,77.971,77.971,0.0
129.0215,273.564,273.564,0.0
129.15977,261.227,261.227,0.0
129.29501,289.083,289.083,0.0
129.82295,328.471,328.471,0.0
130.19365,128.791,128.791,0.0
130.43828,123.414999999999,123.414999999999,0.0
130.89755,35.103,35.103,0.0
131.77287,146.442,146.442,0.0
132.1361,-120.398999999999,-120.398999999999,0.0
132.50545,-118.983,-118.983,0.0
132.69592,68.7079999999999,68.7079999999999,0.0
132.8634,15.372,15.372,0.0
132.97498,79.8019999999999,79.8019999999999,0.0
133.36327,-41.127,-41.127,0.0
133.58109,-16.1549999999999,-16.1549999999999,0.0
133.80695,115.037,115.037,0.0
133.96204,125.658999999999,125.658999999999,0.0
134.11256,-46.974,-46.974,0.0
134.64706,-163.36,-163.36,0.0
134.71587,3.45900000000001,3.45900000000001,0.0
